Rank	score	Perturbation	Perturbation LIFE URL	Perturbation PubChem URL	Perturbation DrugBank URL	Cell-line	Dose	Time	Signature URL
1	0.4375	BRAZILIN	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A83326220	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=222515	None	HA1E	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC004_HA1E_24H:BRD-A83326220:10.0
2	0.3750	MLN4924	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K67844266	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=16720766	None	LOVO	11.1um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC006_LOVO_6H:BRD-K67844266:11.1
3	0.3125	cyclosporin A	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A38030642	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=16404350	None	HA1E	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC001_HA1E_24H:BRD-A38030642:10.0
4	0.3125	AG 592	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K89930444	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5467485	None	HA1E	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC001_HA1E_24H:BRD-K89930444:10.0
5	0.3125	NOCODAZOLE	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K12539581	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=4122	None	A375	10.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC004_A375_6H:BRD-K12539581:10.0
6	0.3125	15-Deoxy-?12,14-prostaglandin J2	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K61033289	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=12068863	None	HA1E	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC006_HA1E_24H:BRD-K61033289:10.0
7	0.3125	piperlongumine (HPLC)	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K24132293	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=637858	None	MCF7	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC006_MCF7_24H:BRD-K24132293:10.0
8	0.3125	MLN2238	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K78659596	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=25183872	None	MCF7	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC006_MCF7_24H:BRD-K78659596:10.0
9	0.3125	BRD-K41859756	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K41859756	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=10096043	None	SNGM	10.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC006_SNGM_6H:BRD-K41859756:10.0
10	0.3125	BRD-K77547920	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K77547920	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=31055126	None	HT29	10.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC009_HT29_6H:BRD-K77547920:10.0
11	0.3125	BRD-K02174945	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K02174945	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=1434960	None	MCF7	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC009_MCF7_24H:BRD-K02174945:10.0
12	0.3125	7241-4207	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K69852452	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5056826	None	A549	10.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC013_A549_6H:BRD-K69852452:10.0
13	0.3125	QL-XII-47	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K99252563	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=71748056	None	LNCAP	10um	24h	https://maayanlab.cloud/l1000cds2/meta?sig_id=LJP006_LNCAP_24H:BRD-K99252563:10
14	0.3125	radicicol	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A39996500	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5311380	None	SKBR3	0.37um	24h	https://maayanlab.cloud/l1000cds2/meta?sig_id=LJP006_SKBR3_24H:BRD-A39996500:0.37
