Rank	score	Perturbation	Perturbation LIFE URL	Perturbation PubChem URL	Perturbation DrugBank URL	Cell-line	Dose	Time	Signature URL
1	0.2857	S1057	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K15600710	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=11404337	None	MCF7	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC013_MCF7_24H:BRD-K15600710:10.0
2	0.2500	656402-250MG	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K72238567	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=8975	None	NEU	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC012_NEU_24H:BRD-K72238567:10.0
3	0.2500	S1003	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K99749624	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=11485656	None	A549	10.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC014_A549_6H:BRD-K99749624:10.0
4	0.2143	OXIBENDAZOLE	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K52075715	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=4622	None	HA1E	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC004_HA1E_24H:BRD-K52075715:10.0
5	0.2143	DULOXETINE HYDROCHLORIDE	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K71103788	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=60834	None	HA1E	10.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC004_HA1E_6H:BRD-K71103788:10.0
6	0.2143	CT-200783	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K02822062	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=73707405	None	MCF7	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC006_MCF7_24H:BRD-K02822062:10.0
7	0.2143	BRD-K35716340	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K35716340	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=1641662	None	PL21	12.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC006_PL21_6H:BRD-K35716340:12.0
8	0.2143	MLN2238	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K78659596	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=25183872	None	SKLU1	10.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC006_SKLU1_6H:BRD-K78659596:10.0
9	0.2143	BRD-K84203638	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K84203638	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=3237904	None	PC3	10.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC007_PC3_6H:BRD-K84203638:10.0
10	0.2143	MLS-0437446.0001	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K32636001	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=9581015	None	A375	10.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC008_A375_6H:BRD-K32636001:10.0
11	0.2143	BRD-K55722623	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K55722623	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=44460166	None	MCF7	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC009_MCF7_24H:BRD-K55722623:10.0
12	0.2143	BRD-K80786583	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K80786583	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=44616501	None	A549	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC013_A549_24H:BRD-K80786583:10.0
13	0.2143	EI-215	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K40255344	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5614	None	MCF7	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC014_MCF7_24H:BRD-K40255344:10.0
14	0.2143	EI-293	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A18497530	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=1830	None	SKB	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC014_SKB_24H:BRD-A18497530:10.0
15	0.2143	BRD-K96263742	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K96263742	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=3392731	None	ASC	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC015_ASC_24H:BRD-K96263742:10.0
16	0.2143	BRD-K15834839	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K15834839	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=22752	None	SKB	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC015_SKB_24H:BRD-K15834839:10.0
17	0.2143	BRD-K10207760	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K10207760	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6426773	None	NPC	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC018_NPC_24H:BRD-K10207760:10.0
18	0.2143	SB-203580	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A37704979	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=176155	None	HEPG2	10um	24h	https://maayanlab.cloud/l1000cds2/meta?sig_id=LJP009_HEPG2_24H:BRD-A37704979:10
19	0.2143	pelitinib	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K08799216	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6445562	None	HS578T	3.33um	24h	https://maayanlab.cloud/l1000cds2/meta?sig_id=LJP005_HS578T_24H:BRD-K08799216:3.33
20	0.1786	cyclosporin A	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A38030642	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=16404350	None	HA1E	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC001_HA1E_24H:BRD-A38030642:10.0
21	0.1786	Strophantine octahydrate	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K35708212	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=439501	http://www.drugbank.ca/drugs/DB01092	HA1E	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC003_HA1E_24H:BRD-K35708212:10.0
22	0.1786	SULPIRIDE	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A10715913	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=4018928	None	VCAP	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC003_VCAP_24H:BRD-A10715913:10.0
23	0.1786	OUABAIN	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A68930007	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=12420	None	PC3	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC004_PC3_24H:BRD-A68930007:10.0
