Rank	score	Perturbation	Perturbation LIFE URL	Perturbation PubChem URL	Perturbation DrugBank URL	Cell-line	Dose	Time	Signature URL
1	0.2051	656402-250MG	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K72238567	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=8975	None	NEU	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC012_NEU_24H:BRD-K72238567:10.0
2	0.2051	S1057	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K15600710	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=11404337	None	MCF7	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC013_MCF7_24H:BRD-K15600710:10.0
3	0.2051	S1003	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K99749624	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=11485656	None	A549	10.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC014_A549_6H:BRD-K99749624:10.0
4	0.1795	BRD-K84203638	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K84203638	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=3237904	None	HT29	10.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC007_HT29_6H:BRD-K84203638:10.0
5	0.1795	BRD-K84203638	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K84203638	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=3237904	None	PC3	10.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC007_PC3_6H:BRD-K84203638:10.0
6	0.1795	HY-10161	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K59369769	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5494449	None	NPC	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC013_NPC_24H:BRD-K59369769:10.0
7	0.1795	BRD-K96263742	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K96263742	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=3392731	None	ASC	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC015_ASC_24H:BRD-K96263742:10.0
8	0.1795	pelitinib	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K08799216	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6445562	None	HS578T	3.33um	24h	https://maayanlab.cloud/l1000cds2/meta?sig_id=LJP005_HS578T_24H:BRD-K08799216:3.33
9	0.1795	WZ-3105	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K92571446	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=42628507	None	PC3	0.37um	24h	https://maayanlab.cloud/l1000cds2/meta?sig_id=LJP005_PC3_24H:BRD-K92571446:0.37
10	0.1538	Strophanthidin	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K84595254	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6185	None	HCC515	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC001_HCC515_24H:BRD-K84595254:10.0
