Rank	score	Perturbation	Perturbation LIFE URL	Perturbation PubChem URL	Perturbation DrugBank URL	Cell-line	Dose	Time	Signature URL
1	0.1429	Parthenolide	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K98548675	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6473881	None	VCAP	10.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC006_VCAP_6H:BRD-K98548675:10.0
2	0.1190	PD 160170	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K12079898	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=9820766	None	VCAP	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC002_VCAP_24H:BRD-K12079898:10.0
3	0.1190	Pravastatin sodium salt	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K60511616	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=54687	http://www.drugbank.ca/drugs/DB00175	VCAP	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC002_VCAP_24H:BRD-K60511616:10.0
4	0.1190	chaetocin	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A85860691	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=161591	None	A375	0.08um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC006_A375_24H:BRD-A85860691:0.08
5	0.1190	vorinostat	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K81418486	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5311	http://www.drugbank.ca/drugs/DB02546	PC3	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC006_PC3_24H:BRD-K81418486:10.0
6	0.1190	DC-45-A2	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K79983625	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=73707376	None	SNUC5	11.1um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC006_SNUC5_6H:BRD-K79983625:11.1
7	0.1190	BRD-K60870698	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K60870698	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=3238417	None	A375	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC007_A375_24H:BRD-K60870698:10.0
8	0.1190	NCGC00182382-01	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K87726525	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=44142143	None	A375	10.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC008_A375_6H:BRD-K87726525:10.0
9	0.1190	BRD-A11087911	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A11087911	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=17757094	None	MCF7	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC009_MCF7_24H:BRD-A11087911:10.0
10	0.1190	BRD-K76236182	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K76236182	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=44506700	None	VCAP	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC013_VCAP_24H:BRD-K76236182:10.0
11	0.1190	BRD-A17065207	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A17065207	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5362868	None	SKB	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC016_SKB_24H:BRD-A17065207:10.0
12	0.1190	sulindac	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A13946108	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=1548887	None	HCC515	10.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC020_HCC515_6H:BRD-A13946108:10.0
