Rank	score	Perturbation	Perturbation LIFE URL	Perturbation PubChem URL	Perturbation DrugBank URL	Cell-line	Dose	Time	Signature URL
1	0.2051	trichostatin A	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A19037878	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6376322	None	HA1E	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC002_HA1E_24H:BRD-A19037878:10.0
2	0.1795	Pifithrin- ?	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K96799727	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=327653	None	HA1E	10.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC004_HA1E_6H:BRD-K96799727:10.0
3	0.1795	Ingenol 3, 20-dibenzoate	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A52650764	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5225086	None	SNGM	10.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC006_SNGM_6H:BRD-A52650764:10.0
4	0.1795	BRD-K58853583	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K58853583	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=46907631	None	HEPG2	10.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC008_HEPG2_6H:BRD-K58853583:10.0
5	0.1795	MLS-0437446.0001	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K32636001	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=9581015	None	HT29	10.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC008_HT29_6H:BRD-K32636001:10.0
6	0.1795	NCGC00182609-01	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K95858622	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=2950270	None	HT29	10.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC008_HT29_6H:BRD-K95858622:10.0
7	0.1795	VU0404997-2	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A34208323	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=46869952	None	MCF7	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC009_MCF7_24H:BRD-A34208323:10.0
8	0.1795	BRD-K83670234	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K83670234	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=46907618	None	MCF7	10.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC009_MCF7_6H:BRD-K83670234:10.0
9	0.1795	S1003	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K99749624	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=11485656	None	A549	10.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC014_A549_6H:BRD-K99749624:10.0
10	0.1538	trichostatin A	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A19037878	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6376322	None	HA1E	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC004_HA1E_24H:BRD-A19037878:10.0
11	0.1538	Cycloheximide	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A62184259	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=2900	None	HA1E	10.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC004_HA1E_6H:BRD-A62184259:10.0
12	0.1538	CYCLOHEXIMIDE	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K36055864	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6197	None	HA1E	10.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC004_HA1E_6H:BRD-K36055864:10.0
13	0.1538	piperlongumine (HPLC)	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K24132293	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=637858	None	A375	10.0um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC006_A375_24H:BRD-K24132293:10.0
14	0.1538	89671	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A31107743	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5353446	None	HA1E	0.09um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC006_HA1E_24H:BRD-A31107743:0.09
15	0.1538	TG101348	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K12502280	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=16722836	None	HA1E	11.1um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC006_HA1E_6H:BRD-K12502280:11.1
16	0.1538	Ro 28-1675 ?	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K21672174	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=9886086	None	SKM1	160.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC006_SKM1_6H:BRD-K21672174:160.0
17	0.1538	89671	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A31107743	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5353446	None	VCAP	0.09um	24.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC006_VCAP_24H:BRD-A31107743:0.09
18	0.1538	BRD-K84203638	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K84203638	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=3237904	None	HT29	10.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC007_HT29_6H:BRD-K84203638:10.0
19	0.1538	BRD-K84203638	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K84203638	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=3237904	None	PC3	10.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC007_PC3_6H:BRD-K84203638:10.0
20	0.1538	MLS-0437446.0001	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K32636001	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=9581015	None	A375	10.0um	6.0h	https://maayanlab.cloud/l1000cds2/meta?sig_id=CPC008_A375_6H:BRD-K32636001:10.0
